latinad_id,display_name,latitude,longitude,city
1247,TSJ-09-68 OFF,9.93266747,-84.09022729,
1248,TSJ-09-69 OFF,9.93237171,-84.09190876,
1249,TSJ-09-70 OFF,9.93237086,-84.09218005,
1250,TSJ-09-71,9.93263234,-84.0964172,
1251,TSJ-09-72 OFF,9.93261463,-84.09413022,
1253,TSJ-11-74,9.93310308,-84.06908395,
1254,TSJ-11-75,9.93412633,-84.0690619,
1270,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #2,4.65328137,-74.1146288,
1272,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #3,4.65336692,-74.1146288,
1532,SAN MIGUEL,13.4626287,-88.16546745,
1590,Pantalla 105 brigada,15.51848454,-88.02516931,
1638,San Pedro MENSUAL,9.93034804,-84.04409355,
1999,Cartago MENSUAL,9.86774781,-83.94244696,
2072,CIRCUITO TOTEM DIGITAL-TERRAMALL,9.90578499,-84.00310028,
2073,CIRCUITO TOTEMS DIGITALES MULTIPLAZA ESCAZU,9.9439637,-84.1503567,
2074,CIRCUITO TOTEM DIGITAL-MULITPLAZA CURRIDABAT,9.9145505,-84.0386633,
2075,CIRCUITO TOTEM DIGITAL-LINCOLN PLAZA,9.9626237,-84.0558632,
2089,CIRCUITO TOTEM DIGITAL - MALL SAN PEDRO,9.9342461,-84.0565521,
2092,CIRCUITO TOTEM DIGITAL-OXIGENO,9.9935167,-84.1313156,
2094,CIRCUITO TOTEM DIGITAL - MULTI BOGOTA,4.6513764,-74.1262885,
2142,DF2856 DU Masaryk Esq Goldsmith,19.4321428,-99.2008104,
2143,DF2856 DU Masaryk Esq Goldsmith,19.4321428,-99.2008104,
2144,DF2094 DU Andres Bello Pantalla 1 y 2,19.4272658,-99.1933191,
2145,DF2094 DU Andres Bello Pantalla 1 y 2,19.4272658,-99.1933191,
2146,DF2094 DU Andres Bello Pantalla 3 y 4,19.4272658,-99.1933191,
2147,DF2094 DU Andres Bello Pantalla 3 y 4,19.4272658,-99.1933191,
2148,DF2219 DU Reforma 2603,19.3954269,-99.2393092,
2152,DF2397 DU J. Barros Sierra,19.3671315,-99.2585509,
2153,DF2958 DU Reforma 350,19.4256226,-99.2067582,
2154,DF2740 DU Tecamachalco 5,19.4334233,-99.2106794,
2155,DF2920 DU Rio San Joaquin,19.4433848,-99.1951187,
2156,DF2993 DU Monterrey y el Oro,19.4189638,-99.1645423,
2157,DF2941 DU Insurgentes 121,19.4337322,-99.1585251,
2158,DF2768 DU Mariano Escobedo 570  1 y 2,19.4293781,-99.1799335,
2159,DF2768 DU Mariano Escobedo 570  1 y 2,19.42957442,-99.18009656,
2160,DF3133 DU Nuevo Leon 272,19.401788,-99.1706493,
2161,DF3162 DU Xola 32,19.3952155,-99.1449667,
2162,DF3113 DU Masaryk 49,19.4316488,-99.1832449,
2163,DF3113 DU Masaryk 49,19.4316488,-99.1832449,
2164,DF3139 DU Napoles esq. Reforma 202 (1),19.4292534,-99.1610026,
2165,DF3139 DU Napoles esq. Reforma 202 (2),19.4292534,-99.1610026,
2166,DF3139 DU Napoles esq. Reforma 202 (3),19.4292534,-99.1610026,
2167,DF3139 DU Napoles esq. Reforma 202 (4),19.4292534,-99.1610026,
2168,DF3261 DU Insurgentes 363,19.4109658,-99.1671733,
2169,DF3287 DU Mariano Escobedo 350,19.4366503,-99.183102,
2170,DF3246 DU Newton,19.43188228,-99.19047748,
2171,DF2843 DU Reforma 336,19.4262979,-99.1670176,
2222,CAL-001 A,25.5502594,-100.9324463,
2640,Circuit National Mall,38.8875144,-77.0363934,
2641,Circuit Georgetown University,38.9076089,-77.0722585,
2669,Av JerusalÃ©m hacia redondel naciones unidas,13.68042744,-89.25156411,
2679,sAN MIGUEL AV. ROOSEVELT HACIA METROCENTRO SAN MIGUEL,13.48181396,-88.1850909,
2756,La Uruca MENSUAL,9.96027638,-84.1084868,
2758,Plaza Hong Kong,21.15650215,-86.83118079,
2818,Avenida Segunda,9.93321059,-84.07998621,
3418,S-01867 Via a la costa,-2.18737517,-79.95151075,
3544,Transmilenio - Portal Suba,4.74640634,-74.09475803,
3545,Transmilenio - Portal AmÃ©ricas,4.62929723,-74.17256355,
3546,Transmilenio - Portal 80,4.70978317,-74.11130827,
3548,Transmilenio - Portal Sur,4.59669163,-74.16939199,
3797,MAYA-001 JUSTO SIERRA,32.6572358,-115.4528028,
3799,MAYA-002 PERIFERICO,32.6379423,-115.4139456,
3800,MAYA-003 LAZARO CARDENAS,32.6249538,-115.4231182,
3801,MAYA-004 GARITA RIO NUEVO,32.6622155,-115.496687,
3802,MAYA-005 FERROCARRIL,32.6434773,-115.469157,
3865,D 001- Rogelio Cantu No 100 Atirantado,25.6730036,-100.3803799,
3866,D 002- Av Gonzalitos No 700 Suzuki,25.68625767,-100.3516499,
3867,D 003- Av Eugenio Garza Sada sur No 7015 Autozone,25.59871835,-100.26431,
3869,D 005- Av Paseo de los Leones y Conquistadores No 2520 Natural,25.71547231,-100.3803454,
3870,D 006- Av Paseo de los Leones y Conquistadores No 2520 Cruzada,25.7139561,-100.3800239,
3872,D 008- Gonzalitos No 1104 Jack $ Ray Natural,25.68974387,-100.3517828,
3873,D 009- Av. Gonzalitos #1104,25.68955957,-100.3516863,
3874,D 010- Av. Contitucion #2220,25.6703729,-100.3449188,
3875,D 011- Av. Lazaro Cardenas y Paseo del acueducto # 2002,25.63421857,-100.3051004,
3876,D 012- Av. Gonzalitos #300,25.7080694,-100.3501662,
3877,D 013- Av. Morones Prieto #2414,25.66873506,-100.3476292,
3878,D 014- Av Rogelio Cantu Cresta,25.681964,-100.3777548,
3879,D 015- Revolucion casi esquina con Morones prieto,25.67079128,-100.2847697,
3880,D 016- Av. Churubusco #319,25.6840731,-100.2681398,
3881,D 017- Miguel Aleman No 810,25.7397574,-100.205586,
3882,D 018- Av. Fidel Velazquez y Calle Naranjo # 709,25.7291605,-100.3207196,
3883,D 019- Morones Prieto No 1616 Convex,25.66503536,-100.331021,
3885,D 022- Carretera nacional Km 268 Esfera,25.57516198,-100.2452572,
3886,D 023- Av Revolucion y Sendero Sur,25.62779285,-100.2725584,
3887,D 024- Garza Sada y Libra Contry,25.63106028,-100.2792918,
3893,Lindora Radial Santa Ana,9.94681581,-84.19194862,
3965,PANTALLA - TERMINAL SUR,4.59758,-74.17582,
3969,D 028- Av. ConstituciÃ³n y Gonzalitos/San Jeronimo,25.6733685,-100.3541535,
4072,CRC - CARTONERA - PANTALLA EXTERNA,9.96487443,-84.19812384,
4102,Transmilenio - Portal Norte,4.75435049,-74.04629588,
4108,CC Santa FÃ© - Food Court,4.76128865,-74.0466358,
4117,D 020- Av Paseo de los Leones No 1001 Club de Leones,25.69422571,-100.3616861,
4395,Lindora Porshe MENSUAL,9.96043127,-84.18480225,
6579,TERMINAL DE BUSES SALITRE - ENTRADA MODOULO #1 AMARILLO,4.65392499,-74.11493297,
6671,CIRCUITO C.C. Parque Colina. Columnas Zona Bancaria (Circuito de 2 pantallas),4.7328669,-74.0661709,
6834,MULTI ESCAZU - PANTALLA INTERNA - PLAYGROUND,9.9439637,-84.1503567,
6859,Carro Valla MÃ³vÃ­l LED- P8 - 1 Costado - BogotÃ¡.,4.65543,-74.05625692,
6860,Desamparados MENSUAL,9.90084847,-84.0682187,
6898,Morelos y JuÃ¡rez,25.66772253,-100.3156571,
6899,Aeropuerto CDMX,19.4352868,-99.0836472,
7023,D 026- AV Fidel Velazquez y Mimosas,25.7264207,-100.3226384,
7175,TERMINAL DE BUSES SALITRE - ENTRADA MODOULO #2  AZUL,4.6540346,-74.1149732,
7206,Aeropuerto BogotÃ¡ - Hall Central,4.69816823,-74.14208747,
7209,Aeropuerto BogotÃ¡ - EmigraciÃ³n,4.69872245,-74.14142857,
7210,Aeropuerto BogotÃ¡ - Hall Counters,4.69969168,-74.14206942,
7211,Aeropuerto BogotÃ¡ - Circuito Advantage,4.69798395,-74.14267975,
7220,Aeropuerto BogotÃ¡ - Circuito Prime (Nac. Internac),4.69834062,-74.14152217,
7222,Aeropuerto BogotÃ¡ - Monitores Filtros inmigraciÃ³n,4.69804055,-74.14028959,
7230,Aeropuerto BogotÃ¡ - Circuito VIP,4.69804475,-74.14023206,
7238,Aeropuerto BogotÃ¡ - Circuito AirTV,4.70028021,-74.14279418,
7328,Aeropuerto BogotÃ¡ - Circuito 4 Bandas Nacionales Verticales,4.69794115,-74.14455693,
7449,CC Unicentro BogotÃ¡ - Circuito 8 Totems 75' ,4.7021704,-74.0415203,
7460,Valla Calle 127,4.7057476,-74.0506224,
7461,Valla Calle 100 Autopista,4.6896022,-74.0738356,
7462,Valla Floresta,4.6878121,-74.0606255,
7463,Valla Calle 80,4.673336,-74.0697268,
8371,City Mall CR - Circuito Nivel 1,10.00293953,-84.2116932,
8372,City Mall CR - Circuito Nivel 2,10.0030961,-84.21172836,
8373,City Mall CR - Circuito Nivel 3,10.00315843,-84.2117503,
8374,City Mall CR - Circuito SÃ³tanos,10.00312422,-84.21172225,
8388,Aeropuerto Barranquilla - Totems Hall Central Counters,10.8865373,-74.776479,
8390,Aeropuerto Barranquilla - Sala espera Mixta,10.88690521,-74.77676721,
8392,Aeropuerto Barranquilla - Llegadas Mixta,10.88672117,-74.77677067,
8459,CC Colina. Food Court.,4.7328669,-74.0661709,
8464,Valla Auto Norte 118,4.70109481,-74.05478392,
8465,Valla Auto Norte 120,4.70169749,-74.05472522,
8467,Transmilenio - EstaciÃ³n Universidades,4.6051435,-74.0670354,
8468,Transmilenio Totems Bog  - EstaciÃ³n Marly,4.6369259,-74.0669066,
8469,Transmilenio Totems Bog  - EstaciÃ³n Toberin,4.7463977,-74.0472434,
8470,Transmilenio Totems Bog  - EstaciÃ³n Autonorte Calle 100,4.6848007,-74.0575695,
8471,Transmilenio Totems Bog  - EstaciÃ³n Calle 85,4.67234,-74.05924,
8472,Transmilenio Totems Bog  - EstaciÃ³n AlcalÃ¡,4.7218897,-74.0508299,
8473,Transmilenio Totems Bog  - EstaciÃ³n Suba Calle 100,4.69003,-74.06529,
